customer_id,customer_code,legal_name,customer_status,customer_name,phone_no,currency_id,sales_rep_id
10007,,Innovation Clic,,Innovation,,0,22
10013,,Fourmark,,Fourmark,,0,22
10021,,Springwall Sleep Products Inc.,,Springwall,,0,22
10025,,Mcdermid Paper,,Mcdermid,,0,22
10029,,Fautley,,Fautley,,0,22
10037,,Instore Products,,Instore,,0,22
10038,,Casters In Motion,,Casters,,0,22
10061,,Can-Ross Environmental Services Ltd.,,Can-Ross,,0,22
10063,,Signalex,,Signalex,,0,22
10068,,SmartWay Binding,,SmartWay,,0,22
10071,,Ace Tronic,,Ace,,0,22
10073,,Holistically Organics,,Holistically,,0,22
10081,,Norman Hardie Winery,,Norman,,0,22
10082,,DSL Furniture,,DSL,,0,22
10084,,Kii Naturals,,Kii,,0,22
10086,,Selenite,,Selenite,,0,22
10115,,Perfect Point MAT016,,Matrix,,0,22
11130,,Majopage Creative,,Majopage,,0,22
11153,,Keto Bake Club,,Keto,,0,22
11156,,Slobbers Organic Dog Treats SLO004,,Slobbers,,0,22
11160,,Shumaker,,Shumaker,,0,22
11169,,Precision Record Pressing Inc. PRE008,,Precision,,0,22
11172,,Coordinate Industries COO005,,Coordinate,,0,22
11180,,Protech Chemcials,,Protech,,0,22
11188,,Detour Coffee Roasters,,Detour,,0,22
11205,,SHW Pumps & Engine Components Inc.,,SHW,,0,22
11216,,Alltech,,Alltech,,0,22
11229,,Deger,,Deger,,0,22
11241,,Distributors Choice DIS007,,Distributors,,0,22
11244,,Top Shelf Storage TOP012,,Top,,0,22
11246,,Soure Imaging,,Sourcing,,0,22
11258,,Test Vancouver,,Test,,0,22
11260,,Quick Quote JT,,Quick,,0,22
11288,,9385215 Canada Corp,,9385215,,0,22
11294,,Ergo Centric Seating Systems,,Ergo,,0,22
11304,,Freedom Pet Supplies,,Freedom,,0,22
11305,,Parts Connexion,,Parts,,0,22
11324,,Massilly North America,,Massilly,,0,22
11355,,Nutranorth,,Nutranorth,,0,22
11377,,Add Impact Inc.,,Add,,0,22
11391,,Tuetech Industries,,Tuetech,,0,22
11407,,Kris Prospect,,Kris,,0,22
